disease,diet_1,diet_2,diet_3,diet_4,diet_5,disease_code
meningitis,adequate hydration,high-protein diet,immune-boosting foods,vitamin c-rich foods,antioxidant-rich foods,445
spherocytosis,folate-rich foods,iron-rich foods if appropriate,antioxidant-rich foods,vitamin b12 foods,adequate hydration,663
hormone disorder,balanced diet,low-glycemic foods,omega-3-rich fish,cruciferous vegetables,avoid processed foods,329
raynaud disease,omega-3-rich fish,vitamin e-rich foods,anti-inflammatory diet,avoid caffeine,adequate hydration,617
reactive arthritis,anti-inflammatory diet,omega-3-rich fish,vitamin d-rich foods,calcium-rich foods,adequate hydration,618
ear wax impaction,omega-3-rich fish,adequate hydration,anti-inflammatory diet,balanced diet,zinc-rich foods,212
hypertension of pregnancy,dash diet,low-sodium diet,calcium-rich foods,magnesium-rich foods,adequate hydration,347
peripheral arterial embolism,heart-healthy diet,omega-3-rich fish,antioxidant-rich foods,low-saturated fat,adequate hydration,544
rosacea,anti-inflammatory diet,avoid trigger foods,omega-3-rich fish,probiotics,adequate hydration,627
fracture of the skull,calcium-rich foods,omega-3-rich fish,protein-rich diet,antioxidant-rich foods,adequate hydration,272
uveitis,anti-inflammatory diet,vitamin a-rich foods,omega-3-rich fish,antioxidant-rich foods,adequate hydration,740
fracture of the facial bones,soft diet,calcium-rich foods,vitamin d-rich foods,protein-rich diet,adequate hydration,261
tracheitis,adequate hydration,warm soups,vitamin c-rich foods,honey and ginger,anti-inflammatory diet,717
jaw disorder,soft diet,avoid hard chewy foods,anti-inflammatory foods,calcium-rich foods,adequate hydration,403
perirectal infection,high-fiber diet,adequate hydration,immune-boosting foods,vitamin c-rich foods,zinc-rich foods,546
breast cyst,low-fat diet,high-fiber diet,avoid caffeine,cruciferous vegetables,omega-3-rich foods,88
post-traumatic stress disorder (ptsd),omega-3-rich foods,b-vitamin-rich foods,tryptophan-rich foods,magnesium-rich foods,avoid alcohol,581
kidney cancer,antioxidant-rich diet,adequate hydration,low-sodium diet,high-protein diet,fruits and vegetables,407
vulvar cancer,plant-based diet,antioxidant-rich foods,high-fiber diet,folate-rich foods,adequate hydration,764
blepharitis,omega-3-rich fish,vitamin a-rich foods,antioxidant-rich diet,adequate hydration,zinc-rich foods,80
cystitis,adequate hydration,cranberry products,probiotics,vitamin c-rich foods,avoid bladder irritants,165
sickle cell anemia,folate-rich foods,iron-rich foods,vitamin c-rich foods,adequate hydration,high-calorie diet,650
subconjunctival hemorrhage,vitamin c-rich foods,vitamin k-rich foods,adequate hydration,anti-inflammatory diet,antioxidant-rich foods,682
hemorrhoids,high-fiber diet,adequate hydration,fruits and vegetables,whole grains,avoid straining foods,318
contact dermatitis,anti-inflammatory diet,omega-3-rich foods,vitamin e-rich foods,probiotics,avoid known allergens,149
sinus bradycardia,balanced diet,magnesium-rich foods,potassium-rich foods,adequate hydration,avoid excess alcohol,652
high blood pressure,dash diet,low-sodium foods,potassium-rich foods,magnesium-rich foods,omega-3-rich fish,325
chronic constipation,high-fiber diet,adequate hydration,probiotic-rich foods,fruits and vegetables,whole grains,120
thyroid cancer,anti-inflammatory diet,selenium-rich foods,adequate iodine,antioxidant-rich foods,cruciferous vegetables (moderation),703
flu,adequate hydration,warm soups and broths,vitamin c-rich foods,zinc-rich foods,honey and ginger,249
friedrich ataxia,antioxidant-rich diet,coenzyme q10 foods,low-carbohydrate diet,omega-3-rich fish,adequate hydration,274
tic (movement) disorder,magnesium-rich foods,b-vitamin-rich foods,avoid artificial additives,omega-3-rich foods,balanced diet,706
skin polyp,antioxidant-rich diet,low-sugar diet,anti-inflammatory diet,adequate hydration,balanced diet,657
brachial neuritis,anti-inflammatory diet,vitamin b12 foods,omega-3-rich fish,antioxidant-rich foods,magnesium-rich foods,85
cervical cancer,plant-based diet,folate-rich foods,vitamin c-rich foods,antioxidant-rich foods,avoid processed meats,108
adrenal adenoma,low-sodium diet,potassium-rich foods,balanced diet,avoid excess sugar,calcium-rich foods,23
esophagitis,low-acid diet,soft bland diet,small frequent meals,avoid spicy foods,adequate hydration,235
gas gangrene,high-protein diet,high-calorie diet,vitamin c-rich foods,zinc-rich foods,adequate hydration,282
yeast infection,antifungal diet,probiotics,low-sugar diet,garlic,coconut oil,771
spina bifida,folate-rich foods,nutrient-dense diet,high-fiber diet,adequate hydration,balanced diet,664
drug poisoning due to medication,adequate hydration,bland diet,electrolyte-rich foods,avoid liver-stressful foods,small frequent meals,204
alcoholic liver disease,low-sodium diet,high-protein diet,liver-healthy foods,b-vitamin-rich foods,avoid alcohol,28
malignant hypertension,low-sodium diet,dash diet,potassium-rich foods,omega-3-rich fish,avoid caffeine,437
diverticulitis,low-fiber diet during flare,high-fiber when stable,adequate hydration,avoid seeds and nuts during flare,probiotic-rich foods,196
moyamoya disease,heart-healthy diet,anti-inflammatory diet,omega-3-rich fish,antioxidant-rich foods,adequate hydration,456
heat exhaustion,adequate hydration,electrolyte-rich foods,cool liquids,sports drinks,avoid alcohol,309
psychotic disorder,omega-3-rich foods,b-vitamin-rich foods,antioxidant-rich foods,avoid alcohol,balanced diet,606
frostbite,high-calorie diet,warm fluids,antioxidant-rich foods,vitamin e-rich foods,omega-3-rich fish,275
atrophy of the corpus cavernosum,antioxidant-rich diet,nitric oxide-boosting foods,omega-3-rich fish,zinc-rich foods,l-arginine-rich foods,64
smoking or tobacco addiction,antioxidant-rich diet,vitamin c-rich foods,folate-rich foods,omega-3-rich fish,avoid alcohol,658
sprain or strain,anti-inflammatory diet,protein-rich diet,vitamin c-rich foods,collagen-boosting foods,adequate hydration,672
essential tremor,avoid caffeine,adequate hydration,b-vitamin-rich foods,magnesium-rich foods,anti-inflammatory diet,236
open wound of the ear,vitamin c-rich foods,zinc-rich foods,immune-boosting foods,adequate hydration,protein-rich diet,494
foreign body in the nose,adequate hydration,vitamin c-rich foods,anti-inflammatory diet,balanced diet,zinc-rich foods,256
idiopathic painful menstruation,anti-inflammatory diet,omega-3-rich fish,magnesium-rich foods,vitamin d-rich foods,avoid excess caffeine,362
down syndrome,balanced nutrient-dense diet,omega-3-rich foods,folate-rich foods,antioxidant-rich foods,adequate hydration,198
idiopathic infrequent menstruation,balanced diet,iron-rich foods,folate-rich foods,omega-3-rich fish,adequate calorie intake,359
pneumothorax,high-protein diet,anti-inflammatory diet,adequate hydration,antioxidant-rich foods,avoid carbonated drinks,566
de quervain disease,anti-inflammatory diet,omega-3-rich fish,vitamin c-rich foods,antioxidant-rich foods,adequate hydration,166
fracture of the vertebra,calcium-rich foods,vitamin d-rich foods,high-protein diet,anti-inflammatory diet,adequate hydration,273
human immunodeficiency virus infection (hiv),high-protein diet,nutrient-dense foods,antioxidant-rich foods,adequate hydration,food safety precautions,331
subarachnoid hemorrhage,low-sodium diet,anti-inflammatory diet,adequate hydration,antioxidant-rich foods,adequate protein,681
acute fatty liver of pregnancy (aflp),low-fat diet,high-carbohydrate diet,small frequent meals,avoid fatty foods,adequate hydration,13
ectropion,vitamin a-rich foods,omega-3-rich fish,antioxidant-rich diet,adequate hydration,zinc-rich foods,215
scar,vitamin e-rich foods,vitamin c-rich foods,collagen-boosting foods,zinc-rich foods,omega-3-rich fish,632
eustachian tube dysfunction (ear disorder),anti-inflammatory diet,adequate hydration,vitamin c-rich foods,avoid dairy if mucus-forming,zinc-rich foods,237
graves disease,anti-inflammatory diet,calcium-rich foods,vitamin d-rich foods,avoid iodine excess,adequate hydration,296
dissociative disorder,balanced diet,omega-3-rich foods,b-vitamin-rich foods,magnesium-rich foods,avoid excess caffeine,195
open wound of the face,soft diet,protein-rich diet,vitamin c-rich foods,zinc-rich foods,adequate hydration,496
dislocation of the vertebra,anti-inflammatory diet,calcium-rich foods,vitamin d-rich foods,protein-rich diet,adequate hydration,193
phimosis,anti-inflammatory diet,vitamin e-rich foods,adequate hydration,zinc-rich foods,balanced diet,553
hyperemesis gravidarum,small frequent meals,dry crackers,ginger,bland foods,adequate hydration,339
pregnancy,folate-rich foods,iron-rich foods,calcium-rich foods,protein-rich diet,omega-3-rich fish,585
thalassemia,folate-rich foods,iron-moderated diet,vitamin c-rich foods,calcium-rich foods,adequate hydration,697
placenta previa,iron-rich foods,folate-rich foods,calcium-rich foods,protein-rich diet,adequate hydration,560
epidural hemorrhage,anti-inflammatory diet,adequate hydration,antioxidant-rich foods,vitamin k-rich foods,lean proteins,229
septic arthritis,high-protein diet,immune-boosting foods,vitamin c-rich foods,anti-inflammatory diet,adequate hydration,646
athlete's foot,antifungal diet,low-sugar diet,probiotics,garlic,vitamin c-rich foods,58
pleural effusion,low-sodium diet,high-protein diet,adequate hydration,anti-inflammatory diet,diuretic-friendly foods,563
aphakia,vitamin a-rich foods,antioxidant-rich diet,leafy green vegetables,omega-3-rich fish,zinc-rich foods,46
vulvar disorder,anti-inflammatory diet,probiotic-rich foods,vitamin c-rich foods,adequate hydration,low-sugar diet,765
sialoadenitis,adequate hydration,citrus juices,soft diet,vitamin c-rich foods,anti-inflammatory foods,648
gynecomastia,low-fat diet,avoid phytoestrogens excess,zinc-rich foods,cruciferous vegetables,avoid alcohol,299
histoplasmosis,immune-boosting foods,antifungal diet,adequate hydration,high-protein diet,antioxidant-rich foods,328
erythema multiforme,anti-inflammatory diet,vitamin c-rich foods,omega-3-rich fish,antioxidant-rich foods,adequate hydration,232
scoliosis,calcium-rich foods,vitamin d-rich foods,anti-inflammatory diet,protein-rich diet,adequate hydration,638
arrhythmia,low-sodium diet,potassium-rich foods,magnesium-rich foods,omega-3-rich fish,avoid caffeine,50
trigeminal neuralgia,soft diet,avoid trigger temperature foods,magnesium-rich foods,omega-3-rich fish,anti-inflammatory diet,723
ankylosing spondylitis,anti-inflammatory diet,omega-3-rich fish,vitamin d-rich foods,calcium-rich foods,fruits and vegetables,43
peripheral nerve disorder,vitamin b12 foods,omega-3-rich fish,anti-inflammatory diet,antioxidant-rich foods,adequate hydration,545
sebaceous cyst,low-fat diet,anti-inflammatory diet,zinc-rich foods,antioxidant-rich foods,adequate hydration,641
poisoning due to antipsychotics,adequate hydration,electrolyte-rich foods,bland diet,balanced diet,avoid alcohol,572
neurosis,balanced diet,omega-3-rich foods,b-vitamin-rich foods,magnesium-rich foods,avoid excess caffeine,477
prostate cancer,lycopene-rich foods,cruciferous vegetables,low-fat diet,omega-3-rich fish,avoid excess calcium,599
cerebral edema,low-sodium diet,anti-inflammatory diet,adequate hydration,antioxidant-rich foods,avoid alcohol,106
dislocation of the finger,anti-inflammatory diet,calcium-rich foods,vitamin c-rich foods,collagen-boosting foods,adequate hydration,187
birth trauma,high-calorie diet,protein-rich diet,iron-rich foods,vitamin c-rich foods,adequate hydration,76
chronic pancreatitis,low-fat diet,small frequent meals,avoid alcohol,high-protein diet,adequate hydration,128
hematoma,iron-rich foods,vitamin c-rich foods,anti-inflammatory diet,vitamin k-rich foods,adequate hydration,313
carcinoid syndrome,low-amine diet,small frequent meals,avoid trigger foods,high-protein diet,niacin-rich foods,96
open wound of the head,high-protein diet,omega-3-rich fish,vitamin c-rich foods,antioxidant-rich foods,adequate hydration,500
seborrheic keratosis,antioxidant-rich diet,vitamin e-rich foods,omega-3-rich foods,adequate hydration,balanced diet,643
burn,high-calorie diet,high-protein diet,vitamin c-rich foods,zinc-rich foods,adequate hydration,92
spontaneous abortion,iron-rich foods,folate-rich foods,protein-rich diet,vitamin c-rich foods,adequate hydration,670
adjustment reaction,balanced diet,b-vitamin-rich foods,omega-3-rich foods,magnesium-rich foods,adequate hydration,22
gallstone,low-fat diet,high-fiber diet,small frequent meals,adequate hydration,avoid fried foods,280
zenker diverticulum,soft liquid diet,small frequent meals,avoid fibrous foods,adequate hydration,thickened liquids if needed,772
fracture of the pelvis,calcium-rich foods,vitamin d-rich foods,high-protein diet,iron-rich foods,adequate hydration,269
pneumoconiosis,anti-inflammatory diet,antioxidant-rich foods,omega-3-rich fish,adequate hydration,high-protein diet,564
hyperlipidemia,low-saturated fat diet,high-fiber diet,omega-3-rich fish,plant sterols,avoid trans fats,343
ulcerative colitis,low-residue diet during flare,omega-3-rich fish,probiotics,avoid trigger foods,adequate hydration,729
male genitalia infection,probiotic-rich foods,vitamin c-rich foods,zinc-rich foods,low-sugar diet,adequate hydration,436
hpv,folate-rich foods,antioxidant-rich diet,vitamin c-rich foods,immune-boosting foods,adequate hydration,330
angina,heart-healthy diet,low-sodium foods,omega-3-rich fish,fruits and vegetables,whole grains,42
injury to the spinal cord,high-protein diet,omega-3-rich fish,antioxidant-rich foods,adequate hydration,high-fiber diet,383
nasal polyp,anti-inflammatory diet,omega-3-rich fish,vitamin c-rich foods,avoid aspirin-containing foods,adequate hydration,470
lichen simplex,anti-inflammatory diet,omega-3-rich foods,probiotics,avoid allergen foods,adequate hydration,420
trichiasis,vitamin a-rich foods,antioxidant-rich diet,omega-3-rich fish,zinc-rich foods,adequate hydration,719
acariasis,anti-inflammatory diet,immune-boosting foods,vitamin c-rich foods,zinc-rich foods,adequate hydration,6
skin pigmentation disorder,antioxidant-rich diet,vitamin c-rich foods,folate-rich foods,vitamin b12 foods,omega-3-rich fish,656
factitious disorder,balanced nutritious diet,regular meal schedule,adequate hydration,nutrient-dense foods,dietitian guidance,240
lymphogranuloma venereum,immune-boosting foods,vitamin c-rich foods,zinc-rich foods,anti-inflammatory diet,adequate hydration,431
galactorrhea of unknown cause,balanced diet,avoid excessive supplements,adequate hydration,protein-rich diet,low-fat dairy,279
g6pd enzyme deficiency,avoid trigger foods,avoid fava beans,vitamin c-rich foods,iron-rich foods,adequate hydration,278
nerve impingement near the shoulder,anti-inflammatory diet,vitamin b12 foods,omega-3-rich fish,magnesium-rich foods,adequate hydration,473
toxoplasmosis,immune-boosting foods,vitamin c-rich foods,zinc-rich foods,anti-inflammatory diet,adequate hydration,716
fibroadenoma,low-fat diet,high-fiber diet,cruciferous vegetables,avoid caffeine,antioxidant-rich foods,244
open wound of the hand,protein-rich diet,vitamin c-rich foods,zinc-rich foods,anti-inflammatory diet,adequate hydration,499
missed abortion,iron-rich foods,folate-rich foods,protein-rich diet,vitamin c-rich foods,adequate hydration,450
diabetic ketoacidosis,consistent carbohydrate diet,adequate hydration,electrolyte-rich foods,low-glycemic diet,small frequent meals,180
granuloma inguinale,immune-boosting foods,vitamin c-rich foods,zinc-rich foods,anti-inflammatory diet,adequate hydration,295
obsessive compulsive disorder (ocd),omega-3-rich foods,tryptophan-rich foods,b-vitamin-rich foods,avoid excess caffeine,balanced diet,483
injury of the ankle,anti-inflammatory diet,calcium-rich foods,protein-rich diet,vitamin c-rich foods,adequate hydration,372
hyponatremia,sodium-rich foods if needed,fluid restriction if dilutional,electrolyte balance,balanced diet,follow medical guidance,353
stricture of the esophagus,soft liquid diet,high-calorie diet,protein-rich diet,small frequent meals,adequate hydration,677
fracture of the ankle,calcium-rich foods,vitamin d-rich foods,protein-rich diet,vitamin c-rich foods,adequate hydration,259
soft tissue sarcoma,high-protein diet,antioxidant-rich foods,anti-inflammatory diet,adequate hydration,nutrient-dense foods,660
bone disorder,calcium-rich foods,vitamin d-rich foods,phosphorus-rich foods,vitamin k-rich foods,magnesium-rich foods,83
personality disorder,balanced diet,omega-3-rich foods,b-vitamin-rich foods,avoid excess alcohol,regular meal schedule,550
shingles (herpes zoster),lysine-rich foods,vitamin c-rich foods,zinc-rich foods,immune-boosting foods,avoid arginine-rich foods,647
tourette syndrome,omega-3-rich foods,avoid artificial additives,magnesium-rich foods,zinc-rich foods,balanced diet,714
avascular necrosis,calcium-rich foods,vitamin d-rich foods,anti-inflammatory diet,omega-3-rich fish,avoid alcohol,68
spinocerebellar ataxia,antioxidant-rich diet,omega-3-rich fish,coenzyme q10 foods,adequate hydration,b-vitamin-rich foods,666
sjogren syndrome,adequate hydration,omega-3-rich fish,anti-inflammatory diet,avoid alcohol,soft moist foods,653
adhesive capsulitis of the shoulder,anti-inflammatory diet,omega-3-rich fish,vitamin d-rich foods,calcium-rich foods,antioxidant-rich foods,21
viral hepatitis,low-fat diet,high-carbohydrate diet,fruits and vegetables,adequate hydration,avoid alcohol,754
tonsillar hypertrophy,soft diet,anti-inflammatory diet,vitamin c-rich foods,adequate hydration,zinc-rich foods,709
skin cancer,antioxidant-rich diet,lycopene-rich foods,beta-carotene foods,omega-3-rich fish,vitamin d-rich foods,654
aphthous ulcer,soft bland diet,avoid acidic foods,vitamin b12 foods,folate-rich foods,zinc-rich foods,47
intestinal cancer,high-fiber diet,plant-based diet,low red meat,antioxidant-rich foods,adequate hydration,389
stomach cancer,soft diet,high-protein diet,small frequent meals,avoid salty and smoked foods,antioxidant-rich foods,674
developmental disability,nutrient-dense balanced diet,omega-3-rich foods,iron-rich foods,b-vitamin-rich foods,adequate hydration,176
acute stress reaction,balanced diet,magnesium-rich foods,b-vitamin-rich foods,omega-3-rich foods,avoid excess caffeine,20
delirium,adequate hydration,nutrient-dense foods,small frequent meals,b-vitamin-rich foods,electrolyte-rich foods,170
callus,vitamin e-rich foods,adequate hydration,omega-3-rich foods,zinc-rich foods,balanced diet,94
guillain barre syndrome,high-calorie diet,high-protein diet,soft diet if needed,omega-3-rich fish,adequate hydration,297
lumbago,anti-inflammatory diet,calcium-rich foods,vitamin d-rich foods,omega-3-rich fish,weight management diet,424
deviated nasal septum,anti-inflammatory diet,adequate hydration,vitamin c-rich foods,zinc-rich foods,avoid dairy if mucus-forming,177
hemangioma,anti-inflammatory diet,antioxidant-rich foods,vitamin c-rich foods,adequate hydration,balanced diet,311
peripheral arterial disease,heart-healthy diet,low-saturated fat,omega-3-rich fish,antioxidant-rich foods,avoid smoking,543
chronic back pain,anti-inflammatory diet,omega-3-rich fish,magnesium-rich foods,vitamin d-rich foods,calcium-rich foods,119
heart failure,low-sodium diet,fluid restriction,heart-healthy diet,omega-3-rich fish,avoid alcohol,308
conjunctivitis,vitamin a-rich foods,vitamin c-rich foods,omega-3-rich fish,antioxidant-rich diet,zinc-rich foods,144
herniated disk,anti-inflammatory diet,calcium-rich foods,vitamin d-rich foods,omega-3-rich fish,weight management diet,321
rhabdomyolysis,adequate hydration,electrolyte-rich foods,low-potassium diet if needed,avoid statins with grapefruit,balanced diet,623
breast infection (mastitis),immune-boosting foods,vitamin c-rich foods,adequate hydration,probiotic-rich foods,zinc-rich foods,89
abdominal aortic aneurysm,heart-healthy diet,low-sodium foods,fruits and vegetables,whole grains,lean proteins,0
conduct disorder,omega-3-rich foods,iron-rich foods,zinc-rich foods,avoid artificial additives,balanced diet,140
mastectomy,high-protein diet,antioxidant-rich foods,iron-rich foods,anti-inflammatory diet,adequate hydration,439
epididymitis,adequate hydration,anti-inflammatory diet,vitamin c-rich foods,zinc-rich foods,probiotic-rich foods,228
premature rupture of amniotic membrane,high-protein diet,iron-rich foods,vitamin c-rich foods,folate-rich foods,adequate hydration,588
molluscum contagiosum,immune-boosting foods,vitamin c-rich foods,zinc-rich foods,anti-inflammatory diet,adequate hydration,453
benign vaginal discharge (leukorrhea),probiotic-rich foods,low-sugar diet,vitamin c-rich foods,garlic,adequate hydration,74
bladder obstruction,adequate hydration,high-fiber diet,low-sodium diet,avoid bladder irritants,anti-inflammatory foods,79
cervical disorder,anti-inflammatory diet,calcium-rich foods,vitamin d-rich foods,omega-3-rich fish,fruits and vegetables,109
dyshidrosis,anti-inflammatory diet,avoid nickel-rich foods,omega-3-rich fish,probiotics,zinc-rich foods,209
poisoning due to opioids,adequate hydration,high-fiber diet,b-vitamin-rich foods,electrolyte-rich foods,balanced diet,575
diaper rash,probiotic-rich foods,vitamin a-rich foods,zinc-rich foods,adequate hydration,balanced diet,184
lichen planus,anti-inflammatory diet,avoid acidic foods,vitamin d-rich foods,omega-3-rich fish,avoid spicy foods,419
gastroduodenal ulcer,low-acid diet,fiber-rich foods,probiotic-rich foods,avoid nsaids,avoid alcohol,284
inguinal hernia,high-fiber diet,adequate hydration,avoid constipating foods,low-fat diet,small frequent meals,371
asperger syndrome,balanced nutritious diet,omega-3-rich foods,probiotic-rich foods,avoid food additives,gluten-free if needed,53
mucositis,soft bland diet,cool liquids,nutritional supplements if needed,avoid acidic and spicy foods,adequate hydration,457
paronychia,vitamin c-rich foods,zinc-rich foods,immune-boosting foods,adequate hydration,anti-inflammatory diet,535
open wound of the jaw,liquid diet,soft foods,protein-rich diet,vitamin c-rich foods,adequate hydration,501
white blood cell disease,immune-boosting foods,high-protein diet,iron-rich foods,antioxidant-rich foods,adequate hydration,768
kaposi sarcoma,immune-boosting foods,antioxidant-rich diet,high-protein diet,adequate hydration,anti-inflammatory foods,406
spondylolisthesis,anti-inflammatory diet,calcium-rich foods,vitamin d-rich foods,weight management diet,adequate hydration,668
pseudotumor cerebri,weight management diet,low-sodium diet,adequate hydration,vitamin a avoidance,high-fiber diet,603
conjunctivitis due to virus,immune-boosting foods,vitamin c-rich foods,zinc-rich foods,antioxidant-rich diet,adequate hydration,147
open wound of the nose,vitamin c-rich foods,zinc-rich foods,protein-rich diet,anti-inflammatory diet,adequate hydration,506
